#Matches DetectorTime DescriptorTime JointTime Keypoint:MatchesProportion
67 0.00508904 0.000433245 0.00552228 0.656863
79 0.00562487 0.000498919 0.00612379 0.745283
78 0.00885169 0.000142449 0.00899414 0.684211
79 0.00512011 0.00013345 0.00525356 0.724771
82 0.00523618 0.00044951 0.00568569 0.656
95 0.00966033 0.000153898 0.00981423 0.736434
94 0.00524244 0.000172706 0.00541514 0.728682
94 0.00522643 0.000326314 0.00555275 0.740157
94 0.00906667 0.000184013 0.00925069 0.740157
