#Matches DetectorTime DescriptorTime JointTime Keypoint:MatchesProportion
112 0.00829089 0.000220555 0.00851145 0.949153
109 0.00848605 0.000134643 0.00862069 0.886179
104 0.00805928 0.00015633 0.00821561 0.866667
103 0.00870933 0.000153042 0.00886237 0.858333
99 0.00873384 0.000137949 0.00887179 0.876106
101 0.0082632 0.000141669 0.00840487 0.885965
96 0.0086047 0.000141914 0.00874661 0.780488
106 0.00885607 0.000308797 0.00916487 0.954955
97 0.00810159 0.000121232 0.00822282 0.866071
