#Matches DetectorTime DescriptorTime JointTime Keypoint:MatchesProportion
65 0.0755008 0.000202881 0.0757037 0.492424
72 0.0766375 0.00020764 0.0768451 0.580645
64 0.0665475 0.000201688 0.0667492 0.467153
66 0.0663975 0.000201025 0.0665985 0.492537
59 0.0668345 0.000208797 0.0670433 0.421429
59 0.0705773 0.000191899 0.0707692 0.430657
64 0.0677405 0.000235212 0.0679757 0.432432
65 0.0679013 0.000210943 0.0681122 0.408805
79 0.0699686 0.000196055 0.0701647 0.576642
